site_name,url,bias_rating,factual_reporting_rating
Governing Magazine,governing.com,-8,HIGH
Government Accountability Institute,g-a-i.org,29,MIXED
Government Executive,govexec.com,-4,HIGH
GovTrack,govtrack.us,0,VERY HIGH
GQ Magazine,gq.com,-19,HIGH
Grabien News,news.grabien.com/index.php,-3,MIXED
Grand Rapids Press,mlive.com/grand-rapids/#/0,13,HIGH
Grasping Reality With Both Hands: Bradford DeLong,bradford-delong.com,-21,HIGH
Green Left Weekly,greenleft.org.au,-26,MIXED
Greensboro News and Record,greensboro.com,-12,HIGH
Greentech Media,greentechmedia.com,-12,HIGH
Greenville Gazette,greenvillegazette.com,-26,HIGH
Grist,grist.org,-14,HIGH
Groopspeak,news.groopspeak.com,-28,MIXED
Group of Thirty,group30.org,7,HIGH
Guardian Liberty Voice,guardianlv.com,-24,HIGH
Guardians of Democracy,theguardiansofdemocracy.com,-24,HIGH
Guerrilla News,guerrilla.news,30,MIXED
Guido Fawkes,order-order.com,29,MIXED
